variable_code,domain_prefix,remainder,dss_count,domains,thesaurus_classification,evs_ncit_code,evs_preferred_term,evs_subsets_abbrev
ISBDAGNT,IS,BDAGNT,290,IS,absent-from-thesaurus,,,
RSSTRESN,RS,STRESN,104,RS,absent-from-thesaurus,,,
MKSTRESN,MK,STRESN,47,MK,absent-from-thesaurus,,,
GFSYM,GF,SYM,33,GF,absent-from-thesaurus,,,
GFSYMTYP,GF,SYMTYP,33,GF,absent-from-thesaurus,,,
GFCHROM,GF,CHROM,28,GF,absent-from-thesaurus,,,
GFGENLOC,GF,GENLOC,28,GF,absent-from-thesaurus,,,
GFGENREF,GF,GENREF,28,GF,absent-from-thesaurus,,,
GFGENSR,GF,GENSR,28,GF,absent-from-thesaurus,,,
GFSEQID,GF,SEQID,26,GF,absent-from-thesaurus,,,
FTSTRESN,FT,STRESN,23,FT,absent-from-thesaurus,,,
GFINHERT,GF,INHERT,18,GF,absent-from-thesaurus,,,
GFPRVID,GF,PRVID,18,GF,absent-from-thesaurus,,,
FTREASND,FT,REASND,17,FT,absent-from-thesaurus,,,
GFSTRESN,GF,STRESN,16,GF,absent-from-thesaurus,,,
FTASTDEV,FT,ASTDEV,6,FT,absent-from-thesaurus,,,
GFCOPYID,GF,COPYID,5,GF,absent-from-thesaurus,,,
URSTRESN,UR,STRESN,5,UR,absent-from-thesaurus,,,
TRREASNE,TR,REASNE,4,TR,absent-from-thesaurus,,,
TULOCDTL,TU,LOCDTL,3,TU,absent-from-thesaurus,,,
CMRSDISC,CM,RSDISC,2,CM,absent-from-thesaurus,,,
CMTRTINT,CM,TRTINT,2,CM,absent-from-thesaurus,,,
CMTRTSTT,CM,TRTSTT,2,CM,absent-from-thesaurus,,,
PRTRTINT,PR,TRTINT,2,PR,absent-from-thesaurus,,,
PRTRTSTT,PR,TRTSTT,2,PR,absent-from-thesaurus,,,
DDSTRESN,DD,STRESN,1,DD,absent-from-thesaurus,,,
PRVIRP,PR,VIRP,1,TU,absent-from-thesaurus,,,
QSANTXHI,QS,ANTXHI,1,QS,absent-from-thesaurus,,,
QSANTXLO,QS,ANTXLO,1,QS,absent-from-thesaurus,,,
QSANVLHI,QS,ANVLHI,1,QS,absent-from-thesaurus,,,
QSANVLLO,QS,ANVLLO,1,QS,absent-from-thesaurus,,,
TUPRVIR,TU,PRVIR,1,TU,absent-from-thesaurus,,,
TUPRVIRP,TU,PRVIRP,1,TU,absent-from-thesaurus,,,
ETHNIC,ET,HNIC,1,DM,has-non-cdisc-hit,,,
BEDECOD,BE,DECOD,7,BE,other-cdisc,C124297,CDISC SDTM Biospecimen Events Dictionary Derived Term Terminology,CDISC SDTM Terminology|Clinical Data Interchange Standards Consortium Terminology
PRVIR,PR,VIR,1,TU,other-cdisc,C17255,"Virgin Islands, U.S.",CDISC SEND Country Terminology|CDISC SEND Terminology|Clinical Data Interchange Standards Consortium Terminology|GDC Ter
SPDEVID,SP,DEVID,19,"GF,LB",root-variable-terminology,C117060,Sponsor Device Identifier,CDISC Root Variable Terminology
